Department,Department_Name,Division,Gender,Grade,Base_Salary,Overtime_Pay,Longevity_Pay,Total_pay
ABS,Alcohol Beverage Services,ABS 85 Administration,Male,M2,175873,0,0,175873
ABS,Alcohol Beverage Services,ABS 85 Administration,Male,M3,145613.36,0,0,145613.36
ABS,Alcohol Beverage Services,ABS 85 Administration,Female,M3,136970,0,0,136970
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,Female,21,89432.69,0,2490,91922.69
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,Female,16,78947,456.68,6257.7,85661.38
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,Female,21,98228,518.8,998.28,99745.08
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,Female,18,82405.39,549.2,0,82954.59
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,Male,N20,93986,1187.06,2452.94,97626
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,Female,18,149464.15,0,9021.82,158485.97
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,Male,N25,117424,0,0,117424
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,Female,21,82808.28,11870.82,0,94679.1
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,Male,13,65961.84,2092.7,0,68054.54
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,Male,13,59288.86,1013.01,0,60301.87
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,Male,M3,139407.15,0,0,139407.15
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,Female,N27,128531,0,0,128531
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,Male,M3,152632.07,0,0,152632.07
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,Female,16,73955.3,3509.43,0,77464.73
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,Male,N25,117424,0,0,117424
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,Male,N25,117424,0,0,117424
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,Female,N26,110572.16,0,0,110572.16
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,10,61240,5294.68,995.18,67529.86
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,10,61240,92.35,4827.4,66159.75
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,N18,86103,23917.44,3665.64,113686.08
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,10,61240,9580.78,459.3,71280.08
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,N18,86103,3165.46,3665.65,92934.11
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,15,75086.49,6857.37,0,81943.86
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,N18,81931.25,24672.86,0,106604.11
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,15,75621,2065.26,3471.32,81157.58
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,15,75621,4453.91,3572.85,83647.76
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,15,75621,10989.68,3436.83,90047.51
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,15,75621,6505.89,1228.89,83355.78
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,15,59047.23,7762.45,0,66809.68
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,15,75621,11987.31,1228.88,88837.19
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,10,61240,7037.7,2091.16,70368.86
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,15,72361.04,8085.91,0,80446.95
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,15,68944.39,4539.49,0,73483.88
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,15,75621,1662.14,0,77283.14
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,15,59288.84,1654.62,0,60943.46
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,10,44906.35,3194.01,0,48100.36
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,10,56493,689.42,0,57182.42
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,15,65434.17,2033.02,0,67467.19
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,10,53998.34,103.06,0,54101.4
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,15,60476.48,2079.74,0,62556.22
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,15,56997.16,7844.97,0,64842.13
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,10,52377.67,1949.38,0,54327.05
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,10,51025.24,855.92,0,51881.16
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,10,52591.03,5708.94,0,58299.97
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,10,54062.35,4107.44,0,58169.79
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,15,51547.64,9244.92,0,60792.56
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,10,49298.97,569.16,0,49868.13
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,10,43600.44,4195.08,0,47795.52
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,15,60263.82,5788.37,0,66052.19
